Germanium lens transmittance used in FLIR cameras
Obtained from FLIR web site as a PNG file
Extracted values using Engauge Digitizer
wl=wavelength [micrometer],T=transmittance
-----------------------------------------------
wl,T
5.9998,0.00583
6.4953,0.00304
6.7706,0.0031
7.1833,0.00612
7.4031,0.02075
7.5671,0.06161
7.6206,0.11701
7.6741,0.17533
7.7271,0.24823
7.7532,0.30072
7.7774,0.326
7.7792,0.35612
7.8032,0.4844
7.8261,0.65059
7.8501,0.77888
7.8757,0.84885
7.9295,0.89551
8.259,0.92183
8.6726,0.89569
8.949,0.85203
9.1684,0.88124
9.4145,0.93961
9.4961,0.97461
9.7157,0.99507
9.9639,0.97764
10.1302,0.93686
10.3506,0.92817
10.6535,0.92241
11.0134,0.8467
11.2897,0.80595
11.8409,0.77984
12.0347,0.73908
12.2281,0.71288
12.4489,0.68961
13.5046,0.33418
14.1398,0.25562
14.2784,0.21775
14.5832,0.14203
15.2728,0.0868
15.7961,0.07527
15.9617,0.05781
16.1549,0.03745
16.7604,0.0376
17.2836,0.02898
17.9721,0.01457
